Running MPI+HIP Jacobi solver for N = 201 with max iterations = 100000 on 4 ranks.
Rank 1 is using GPU 0
Rank 2 is using GPU 0
Rank 3 is using GPU 0
Total HIP devices found: 1
Rank 0 is using GPU 0
Iter:     0, Max Diff: 9.858204e-01
Iter: 67000, Max Diff: 9.858204e-01
Iter: 67500, Max Diff: 9.858204e-01
Iter: 68000, Max Diff: 9.858204e-01
Iter: 68500, Max Diff: 9.858204e-01
Iter: 69000, Max Diff: 9.858204e-01
Iter: 69500, Max Diff: 9.858204e-01
Iter: 70000, Max Diff: 9.858204e-01
Iter: 70500, Max Diff: 9.858204e-01
Iter: 71000, Max Diff: 9.858204e-01
Iter: 71500, Max Diff: 9.858204e-01
Iter: 72000, Max Diff: 9.858204e-01
Iter: 72500, Max Diff: 9.858204e-01
Iter: 73000, Max Diff: 9.858204e-01
Iter: 73500, Max Diff: 9.858204e-01
Iter: 74000, Max Diff: 9.858204e-01
Iter: 74500, Max Diff: 9.858204e-01
Iter: 75000, Max Diff: 9.858204e-01
Iter: 75500, Max Diff: 9.858204e-01
Iter: 76000, Max Diff: 9.858204e-01
Iter: 76500, Max Diff: 9.858204e-01
Iter: 77000, Max Diff: 9.858204e-01
Iter: 77500, Max Diff: 9.858204e-01
Iter: 78000, Max Diff: 9.858204e-01
Iter: 78500, Max Diff: 9.858204e-01
Iter: 79000, Max Diff: 9.858204e-01
Iter: 79500, Max Diff: 9.858204e-01
Iter: 80000, Max Diff: 9.858204e-01
Iter: 80500, Max Diff: 9.858204e-01
Iter: 81000, Max Diff: 9.858204e-01
Iter: 81500, Max Diff: 9.858204e-01
Iter: 82000, Max Diff: 9.858204e-01
Iter: 82500, Max Diff: 9.858204e-01
Iter: 83000, Max Diff: 9.858204e-01
Iter: 83500, Max Diff: 9.858204e-01
Iter: 84000, Max Diff: 9.858204e-01
Iter: 84500, Max Diff: 9.858204e-01
Iter: 85000, Max Diff: 9.858204e-01
Iter: 85500, Max Diff: 9.858204e-01
Iter: 86000, Max Diff: 9.858204e-01
Iter: 86500, Max Diff: 9.858204e-01
Iter: 87000, Max Diff: 9.858204e-01
Iter: 87500, Max Diff: 9.858204e-01
Iter: 88000, Max Diff: 9.858204e-01
Iter: 88500, Max Diff: 9.858204e-01
Iter: 89000, Max Diff: 9.858204e-01
Iter: 89500, Max Diff: 9.858204e-01
Iter: 90000, Max Diff: 9.858204e-01
Iter: 90500, Max Diff: 9.858204e-01
Iter: 91000, Max Diff: 9.858204e-01
Iter: 91500, Max Diff: 9.858204e-01
Iter: 92000, Max Diff: 9.858204e-01
Iter: 92500, Max Diff: 9.858204e-01
Iter: 93000, Max Diff: 9.858204e-01
Iter: 93500, Max Diff: 9.858204e-01
Iter: 94000, Max Diff: 9.858204e-01
Iter: 94500, Max Diff: 9.858204e-01
Iter: 95000, Max Diff: 9.858204e-01
Iter: 95500, Max Diff: 9.858204e-01
Iter: 96000, Max Diff: 9.858204e-01
Iter: 96500, Max Diff: 9.858204e-01
Iter: 97000, Max Diff: 9.858204e-01
Iter: 97500, Max Diff: 9.858204e-01
Iter: 98000, Max Diff: 9.858204e-01
Iter: 98500, Max Diff: 9.858204e-01
Iter: 99000, Max Diff: 9.858204e-01
Iter: 99500, Max Diff: 9.858204e-01
Solver stopped after reached max iterations (100000).
Final Max Diff: 9.858204e-01
Total time to solution: 39.6356737620s
Iterations: 100000
Maximum Absolute Error: 0.0000822508
Result is correct within expected numerical error.
loop_name,AI,TFLOPS
update_loop,0.3750000000,0.0025854353
convergence_loop,0.1250000000,0.0000005348
